name,tourism,historic,amenity,opening_hours
富士和教会,,,place_of_worship,
啓運寺,,,place_of_worship,
実相寺,,,place_of_worship,
光明寺,,,place_of_worship,
海蔵寺,,,place_of_worship,Mo-Su 09:30-16:00
英勝寺,,,place_of_worship,Fr-We 09:00-16:00
お稲荷さん,,,place_of_worship,
下之水神宮,,,place_of_worship,
奥宮,,,place_of_worship,
震災供養塔,,monument,,
吉兆庵美術館,museum,,,
棟方板画美術館,museum,,,
鎌倉大谷記念美術館(休館),museum,,,
長谷寺宝物館,museum,,,Mo-Su 08:00-16:30
鶴岡八幡宮宝物殿,museum,,,
天満宮,,,place_of_worship,
泉光院,,,place_of_worship,
覚園寺,,,place_of_worship,Mo-Su 10:00-15:00
杉本寺,,,place_of_worship,Mo-Su 08:00-16:15
宇都宮稲荷,,,place_of_worship,
レデンプトリスチン修道院,,,place_of_worship,
寿福寺,,,place_of_worship,24/7
浄光明寺,,,place_of_worship,
岩船不動尊,,,place_of_worship,
祇園山見晴台,viewpoint,,,
紅葉山やぐら,,archaeological_site,,
志一稲荷社,,,place_of_worship,
鶴岡文庫,museum,,,Tu-Su 09:00-17:00
新宮神社,,,place_of_worship,
岩船地蔵堂,,,place_of_worship,
正宗稲荷社,,,place_of_worship,
辻薬師堂,,,place_of_worship,
秋葉山三尺坊大権現,,,place_of_worship,
千手院,,,place_of_worship,
蓮乗院,,,place_of_worship,
虚空蔵堂,,,place_of_worship,
補陀洛寺,,,place_of_worship,
長勝寺,,,place_of_worship,
川端康成旧邸,,manor,,
高浜虚子庵趾,,manor,,
圓久寺,,,place_of_worship,
法性寺,,,place_of_worship,
パノラマ台,viewpoint,,,
景観百選(富士山),viewpoint,,,
大慶寺,,,place_of_worship,
昌清院,,,place_of_worship,
東光寺,,,place_of_worship,
駒形神社,,,place_of_worship,
御霊神社,,,place_of_worship,
等覚寺,,,place_of_worship,
第六天社,,,place_of_worship,
烏森稲荷社,,,place_of_worship,
山中稲荷社,,,place_of_worship,
光照寺,,,place_of_worship,
妙隆寺,,,place_of_worship,
カトリック雪ノ下教会,,,place_of_worship,
葉祥明美術館,museum,,,
鎌倉山神社,,,place_of_worship,
熊野権現社,,,place_of_worship,
三嶋神社,,,place_of_worship,
普賢光明寺,,,place_of_worship,
長谷のエノキ,,yes,,
太神宮,,,place_of_worship,
浅間神社,,,place_of_worship,
みずき,,monument,,
高養寺浪子不動,,,place_of_worship,
神明神社,,,place_of_worship,
地蔵堂,,,place_of_worship,
三峰神社　御嶽神社,,,place_of_worship,
新羅三郎　手玉石,,yes,,
旗立の松,,yes,,
子守神社,,,place_of_worship,
石上神社,,,place_of_worship,
披露山展望台,viewpoint,,,
大崎公園展望地,viewpoint,,,
川喜多映画記念館,museum,,,Tu-Su 09:00-17:00
馬頭観音,,,place_of_worship,
村上社,,,place_of_worship,
本興寺,,,place_of_worship,
稲荷社,,,place_of_worship,
山王権現,,,place_of_worship,
五所神社,,,place_of_worship,
秋葉神社,,,place_of_worship,
Calvary Chapel Kamakura,,,place_of_worship,
鉄の井,,yes,,
CASA. KAMAKURA ESPRESSO PUB&BED,guest_house,,cafe,
鎌倉オルゴール堂,museum,,,
今宮,,,place_of_worship,
湘和会堂手広,,,place_of_worship,
開山塔,,monument,,
白鹿洞,,yes,,
富士見台,viewpoint,,,
富陽庵,,monument,,
旧炭焼窯跡,,yes,,
やぐら,,monument,,
用堂尼の墓,,monument,,
巨福稲荷大明神,,,place_of_worship,
五輪塔群,,monument,,
永代有縁墓,,monument,,
多宝塔,,monument,,
妙本寺,,,place_of_worship,
常磐富士見台,viewpoint,,,
大野万木句碑,,monument,,
鎌倉大仏坂記,,monument,,
大佛道,,monument,,
南無阿弥陀仏,,monument,,
源 頼朝の墓,,,place_of_worship,
鶴岡八幡宮,attraction,building,,
右卿記念館,museum,,,Sa-Su 10:00-17:00
富士山,viewpoint,,,
富士山ビューポイント,viewpoint,,,
富士山ビューポイント,viewpoint,,,
和田塚,,archaeological_site,,
市立鎌倉国宝館,museum,,,Tu-Su 09:00-16:30
神奈川県立近代美術館鎌倉別館,museum,,arts_centre,Tu-Su 09:30-17:00
鎌倉聖ミカエル教会聖堂,,yes,,
かいひん荘 鎌倉,,manor,,
北鎌倉古民家ミュージアム,museum,,,
一の鳥居,attraction,,,
長谷子ども会館,,manor,,
鏑木清方記念美術館,museum,,,
鎌倉文学館,,manor,,
ハリス記念鎌倉幼稚園,,yes,,
日本基督教団鎌倉教会会堂,,church,,
三河屋本店,,yes,,
湯浅物産館,,yes,,
ホテル ニュー カマクラ,,yes,,
小町通り,attraction,,,
旧華頂宮邸,,manor,,
鎌倉歴史文化交流館,museum,,,Mo-Sa 10:00-16:00
古我邸,,manor,,
曼荼羅堂やぐら群,,archaeological_site,,
旅館 對僊閣,,manor,,
加賀谷邸,,manor,,
川合邸,,manor,,
石島邸,,manor,,
野尻邸(旧大佛次郎茶亭),,manor,,
BAM,museum,,,
篠田邸,,manor,,
寸松堂,,manor,,
笹野邸,,manor,,
旧安保小児科医院,,hospital,,
去来庵,,manor,,
極楽洞,,yes,,
鎌倉文学館,museum,,,
江ノ電デハ107,,locomotive,,
白日堂,,manor,,
村上邸,,manor,,
旧里見弴邸,,manor,,
十一人塚,,archaeological_site,,
のり真安齊商店,,manor,,
小町通り,attraction,,,
竹の庭,attraction,,,
東勝寺橋,,yes,,
小町通り,attraction,,,
