from,to,approx,actual,diff,ratio
円覚寺,明月院,10.1,11.1,-1.0,0.91
円覚寺,建長寺,22.5,21.1,1.4,1.07
円覚寺,東慶寺,6.2,5.1,1.1,1.22
円覚寺,浄智寺,11.0,9.8,1.2,1.12
円覚寺,鶴岡八幡宮,33.8,32.3,1.5,1.05
円覚寺,小町通り,40.8,31.5,9.3,1.3
円覚寺,鎌倉国宝館,33.4,33.0,0.4,1.01
円覚寺,源頼朝の墓,37.4,42.3,-4.9,0.88
円覚寺,宝戒寺,42.0,35.7,6.3,1.18
円覚寺,報国寺,58.8,52.5,6.3,1.12
円覚寺,杉本寺,51.7,48.0,3.7,1.08
円覚寺,浄妙寺,56.2,53.9,2.3,1.04
円覚寺,瑞泉寺,57.5,53.4,4.1,1.08
円覚寺,高徳院,55.1,48.1,7.0,1.15
円覚寺,長谷寺,66.0,52.1,13.9,1.27
円覚寺,御霊神社,69.1,53.2,15.9,1.3
円覚寺,鎌倉文学館,55.4,48.3,7.1,1.15
円覚寺,光則寺,64.9,51.7,13.2,1.26
円覚寺,極楽寺,75.9,62.7,13.2,1.21
円覚寺,成就院,74.4,57.5,16.9,1.29
円覚寺,稲村ヶ崎,92.8,65.8,27.0,1.41
円覚寺,七里ヶ浜,102.1,81.0,21.1,1.26
円覚寺,鎌倉高校前駅,115.6,90.1,25.5,1.28
円覚寺,銭洗弁財天宇賀福神社,30.3,24.7,5.6,1.23
円覚寺,佐助稲荷神社,35.6,29.8,5.8,1.19
円覚寺,寿福寺,32.1,24.7,7.4,1.3
円覚寺,葛原岡神社,23.3,19.2,4.1,1.21
円覚寺,妙本寺,51.7,42.7,9.0,1.21
円覚寺,安国論寺,65.6,49.6,16.0,1.32
円覚寺,光明寺,81.7,59.6,22.1,1.37
円覚寺,由比ヶ浜,68.1,49.3,18.8,1.38
円覚寺,荏柄天神社,42.4,44.7,-2.3,0.95
円覚寺,半僧坊,22.3,24.6,-2.3,0.91
明月院,建長寺,12.6,21.8,-9.2,0.58
明月院,東慶寺,10.1,10.4,-0.3,0.97
明月院,浄智寺,10.9,9.0,1.9,1.21
明月院,鶴岡八幡宮,24.3,31.6,-7.3,0.77
明月院,小町通り,33.0,30.7,2.3,1.08
明月院,鎌倉国宝館,23.8,32.3,-8.5,0.74
明月院,源頼朝の墓,27.3,37.3,-10.0,0.73
明月院,宝戒寺,32.4,34.9,-2.5,0.93
明月院,報国寺,48.7,51.4,-2.7,0.95
明月院,杉本寺,41.6,46.9,-5.3,0.89
明月院,浄妙寺,46.2,52.8,-6.6,0.87
明月院,瑞泉寺,48.0,45.9,2.1,1.05
明月院,高徳院,52.6,47.3,5.3,1.11
明月院,長谷寺,63.4,51.3,12.1,1.24
明月院,御霊神社,66.4,52.5,13.9,1.26
明月院,鎌倉文学館,51.7,47.5,4.2,1.09
明月院,光則寺,62.7,50.9,11.8,1.23
明月院,極楽寺,73.9,59.9,14.0,1.23
明月院,成就院,71.7,56.7,15.0,1.27
明月院,稲村ヶ崎,89.7,65.0,24.7,1.38
明月院,七里ヶ浜,101.7,80.2,21.5,1.27
明月院,鎌倉高校前駅,117.3,89.0,28.3,1.32
明月院,銭洗弁財天宇賀福神社,27.9,24.0,3.9,1.16
明月院,佐助稲荷神社,34.1,29.0,5.1,1.18
明月院,寿福寺,24.9,23.9,1.0,1.04
明月院,葛原岡神社,22.0,18.4,3.6,1.19
明月院,妙本寺,42.8,41.9,0.9,1.02
明月院,安国論寺,56.8,48.9,7.9,1.16
明月院,光明寺,73.9,58.8,15.1,1.26
明月院,由比ヶ浜,62.9,48.5,14.4,1.3
明月院,荏柄天神社,32.3,40.7,-8.4,0.79
明月院,半僧坊,13.5,17.0,-3.5,0.8
建長寺,東慶寺,22.4,16.9,5.5,1.33
建長寺,浄智寺,21.6,17.4,4.2,1.24
建長寺,鶴岡八幡宮,17.2,16.8,0.4,1.02
建長寺,小町通り,29.2,25.1,4.1,1.17
建長寺,鎌倉国宝館,16.3,16.6,-0.3,0.98
建長寺,源頼朝の墓,16.2,15.6,0.6,1.04
建長寺,宝戒寺,24.2,20.6,3.6,1.17
建長寺,報国寺,37.1,29.7,7.4,1.25
建長寺,杉本寺,29.7,25.2,4.5,1.18
建長寺,浄妙寺,33.7,31.1,2.6,1.08
建長寺,瑞泉寺,35.5,33.2,2.3,1.07
建長寺,高徳院,55.8,48.9,6.9,1.14
建長寺,長谷寺,66.0,53.5,12.5,1.23
建長寺,御霊神社,68.8,56.6,12.2,1.22
建長寺,鎌倉文学館,53.3,47.9,5.4,1.11
建長寺,光則寺,65.9,53.9,12.0,1.22
建長寺,極楽寺,76.8,61.2,15.6,1.26
建長寺,成就院,74.0,58.0,16.0,1.28
建長寺,稲村ヶ崎,90.9,65.4,25.5,1.39
建長寺,七里ヶ浜,106.2,80.7,25.5,1.32
建長寺,鎌倉高校前駅,123.8,95.9,27.9,1.29
建長寺,銭洗弁財天宇賀福神社,33.0,27.7,5.3,1.19
建長寺,佐助稲荷神社,39.6,32.9,6.7,1.2
建長寺,寿福寺,23.7,21.1,2.6,1.12
建長寺,葛原岡神社,29.2,28.3,0.9,1.03
建長寺,妙本寺,35.7,30.5,5.2,1.17
建長寺,安国論寺,49.4,39.1,10.3,1.26
建長寺,光明寺,68.1,52.8,15.3,1.29
建長寺,由比ヶ浜,61.8,44.6,17.2,1.39
建長寺,荏柄天神社,20.3,19.0,1.3,1.07
