name,wiki_titles,found,months,total_views,monthly_avg
円覚寺,円覚寺,True,12,32499.0,2708.2
明月院,明月院,True,12,12794.0,1066.2
建長寺,建長寺,True,12,32694.0,2724.5
東慶寺,東慶寺,True,12,20017.0,1668.1
浄智寺,浄智寺,True,12,6710.0,559.2
鶴岡八幡宮,鶴岡八幡宮,True,12,97706.0,8142.2
小町通り,小町通り,True,12,3270.0,272.5
鎌倉国宝館,鎌倉国宝館,True,12,2902.0,241.8
源頼朝の墓,源頼朝の墓,True,12,21.0,1.8
宝戒寺,宝戒寺,True,12,7077.0,589.8
報国寺,報国寺 (鎌倉市),True,12,7669.0,639.1
杉本寺,杉本寺,True,12,4899.0,408.2
浄妙寺,浄妙寺 (鎌倉市),True,12,8015.0,667.9
瑞泉寺,瑞泉寺 (鎌倉市),True,12,5673.0,472.8
高徳院,高徳院|鎌倉大仏,True,12,55542.0,4628.5
長谷寺,長谷寺 (鎌倉市),True,12,20720.0,1726.7
御霊神社,御霊神社 (鎌倉市),True,12,7320.0,610.0
鎌倉文学館,鎌倉文学館,True,12,3425.0,285.4
光則寺,光則寺,True,12,1462.0,121.8
極楽寺,極楽寺 (鎌倉市),True,12,13178.0,1098.2
成就院,成就院 (鎌倉市),True,12,1810.0,150.8
稲村ヶ崎,稲村ヶ崎,True,12,12687.0,1057.2
七里ヶ浜,七里ヶ浜,True,12,12466.0,1038.8
鎌倉高校前駅,鎌倉高校前駅,True,12,12267.0,1022.2
銭洗弁財天宇賀福神社,銭洗弁財天宇賀福神社,True,12,11352.0,946.0
佐助稲荷神社,佐助稲荷神社,True,12,2741.0,228.4
寿福寺,寿福寺,True,12,12251.0,1020.9
葛原岡神社,葛原岡神社,True,12,2006.0,167.2
妙本寺,妙本寺,True,12,7807.0,650.6
安国論寺,安国論寺,True,12,2427.0,202.2
光明寺,光明寺 (鎌倉市),True,12,6367.0,530.6
由比ヶ浜,由比ヶ浜,True,12,13119.0,1093.2
荏柄天神社,荏柄天神社,True,12,5903.0,491.9
半僧坊,,False,0,,
