name,file,url,artist,license,license_url,usable
円覚寺,"File:Shorei-in, Engaku-ji.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Shorei-in%2C_Engaku-ji.jpg/500px-Shorei-in%2C_Engaku-ji.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,DimiTalen,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,True
円覚寺,File:Engaku-ji Temple.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Engaku-ji_Temple.jpg/500px-Engaku-ji_Temple.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Akonnchiroll,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,True
円覚寺,"File:Sanmon, Engaku-ji.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Sanmon%2C_Engaku-ji.jpg/500px-Sanmon%2C_Engaku-ji.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Dandy1022,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,True
明月院,File:Meigetsu-in Kamakura Main-Hall.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Meigetsu-in_Kamakura_Main-Hall.jpg/500px-Meigetsu-in_Kamakura_Main-Hall.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Tarourashima,Public domain,,True
明月院,File:竹林に咲く紫陽花 鎌倉の明月院で撮影 Pcs34560 IMG 3106.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/%E7%AB%B9%E6%9E%97%E3%81%AB%E5%92%B2%E3%81%8F%E7%B4%AB%E9%99%BD%E8%8A%B1_%E9%8E%8C%E5%80%89%E3%81%AE%E6%98%8E%E6%9C%88%E9%99%A2%E3%81%A7%E6%92%AE%E5%BD%B1_Pcs34560_IMG_3106.jpg/500px-%E7%AB%B9%E6%9E%97%E3%81%AB%E5%92%B2%E3%81%8F%E7%B4%AB%E9%99%BD%E8%8A%B1_%E9%8E%8C%E5%80%89%E3%81%AE%E6%98%8E%E6%9C%88%E9%99%A2%E3%81%A7%E6%92%AE%E5%BD%B1_Pcs34560_IMG_3106.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,pcs34560,Public domain,,True
明月院,File:Meigetsu-in September.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Meigetsu-in_September.jpg/500px-Meigetsu-in_September.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Urashimataro,Public domain,,True
建長寺,File:Kenchoji Main Complex.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Kenchoji_Main_Complex.jpg/500px-Kenchoji_Main_Complex.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Tarourashima,Public domain,,True
建長寺,File:Kenchoji Sanmon 2009.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Kenchoji_Sanmon_2009.jpg/500px-Kenchoji_Sanmon_2009.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Wiiii,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,True
建長寺,File:Kenchō-ji - Bell tower.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Kench%C5%8D-ji_-_Bell_tower.jpg/500px-Kench%C5%8D-ji_-_Bell_tower.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Kakidai,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,True
東慶寺,"File:Tōkei-ji, Main Hall 001.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/T%C5%8Dkei-ji%2C_Main_Hall_001.jpg/500px-T%C5%8Dkei-ji%2C_Main_Hall_001.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Naokijp,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,True
