name,photo_url,photo_artist,photo_license,photo_license_url,photo_file
円覚寺,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Shorei-in%2C_Engaku-ji.jpg/500px-Shorei-in%2C_Engaku-ji.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,DimiTalen,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,"File:Shorei-in, Engaku-ji.jpg"
明月院,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Meigetsu-in_Kamakura_Main-Hall.jpg/500px-Meigetsu-in_Kamakura_Main-Hall.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Tarourashima,Public domain,,File:Meigetsu-in Kamakura Main-Hall.jpg
建長寺,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Kenchoji_Sanmon_2009.jpg/500px-Kenchoji_Sanmon_2009.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Wiiii,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,File:Kenchoji Sanmon 2009.jpg
東慶寺,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/T%C5%8Dkei-ji%2C_Main_Hall_002.jpg/500px-T%C5%8Dkei-ji%2C_Main_Hall_002.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Naokijp,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"File:Tōkei-ji, Main Hall 002.jpg"
鶴岡八幡宮,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Tsurugaoka_Hachimangu_001.jpg/500px-Tsurugaoka_Hachimangu_001.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Ocdp,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,File:Tsurugaoka Hachimangu 001.jpg
小町通り,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Kamakura_Komachi_street_2024.jpg/500px-Kamakura_Komachi_street_2024.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,ARandomName123,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Kamakura Komachi street 2024.jpg
鎌倉国宝館,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Kamakura_Museum_of_National_Treasures.jpg/500px-Kamakura_Museum_of_National_Treasures.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Urashimataro,Public domain,,File:Kamakura Museum of National Treasures.jpg
源頼朝の墓,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Tomb_of_Minamoto_no_Yoritomo_001.jpg/500px-Tomb_of_Minamoto_no_Yoritomo_001.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Naokijp,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Tomb of Minamoto no Yoritomo 001.jpg
宝戒寺,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Hokaiji_Main_Hall.jpg/500px-Hokaiji_Main_Hall.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Urashimataro,Public domain,,File:Hokaiji Main Hall.jpg
報国寺,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/2019_H%C5%8Dkoku-ji_01.jpg/500px-2019_H%C5%8Dkoku-ji_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Kakidai,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:2019 Hōkoku-ji 01.jpg
