name,lat,lon,tourism,historic,amenity,religion,opening_hours,fee
富士和教会,35.3125402,139.5517956,,,place_of_worship,,,
啓運寺,35.3106676,139.5528239,,,place_of_worship,buddhist,,
乱橋,35.309792,139.5528939,,memorial,,,,
実相寺,35.3083663,139.5538105,,,place_of_worship,buddhist,,
光明寺,35.3033692,139.554529,,,place_of_worship,buddhist,,
海蔵寺,35.3288581,139.5452632,,,place_of_worship,buddhist,Mo-Su 09:30-16:00,
mimiLotus tea shop,35.3166207,139.5502888,,,cafe,,,
六角ノ井,35.3000289,139.5522875,,memorial,,,,
和賀江嶋,35.3015947,139.5529089,,memorial,,,,
英勝寺,35.3251108,139.5498364,,,place_of_worship,buddhist,Fr-We 09:00-16:00,
風の杜,35.323995,139.5547689,,,cafe,,Mo-Su 09:00-17:00,
菅裸馬句碑,35.3252799,139.5568996,,memorial,,,,
お稲荷さん,35.3202741,139.5524703,,,place_of_worship,shinto,,
下之水神宮,35.3258305,139.5424782,,,place_of_worship,shinto,,
奥宮,35.3258074,139.5420167,,,place_of_worship,shinto,,
神雷戦士の碑,35.3326278,139.5555373,,memorial,,,,
震災供養塔,35.331502,139.5541536,,monument,,,,
食事甘味山里,35.3198481,139.5523149,,,restaurant,,,
焼肉韓国館,35.3198821,139.5523165,,,restaurant,,,
不二家,35.3194154,139.5511861,,,restaurant,,,
川古江屋,35.31943,139.551033,,,restaurant,,,
浅羽屋,35.312551,139.534652,,,restaurant,,,
りきゅう,35.3201008,139.5516788,,,restaurant,,,
峰本,35.3201764,139.551596,,,restaurant,,,
吉兆庵美術館,35.3204156,139.552062,museum,,,,,
棟方板画美術館,35.316253,139.51852,museum,,,,,
鎌倉大谷記念美術館(休館),35.318193,139.545024,museum,,,,,
長谷寺宝物館,35.3122938,139.5329577,museum,,,,Mo-Su 08:00-16:30,
鶴岡八幡宮宝物殿,35.324866,139.556311,museum,,,,,
日米海底通信の史跡,35.3134541,139.5488134,,memorial,,,,
天満宮,35.3367238,139.5151859,,,place_of_worship,shinto,,
ちんや食堂(chinya shokudou),35.323446,139.5251468,,,restaurant,,,
泉光院,35.3379958,139.5153156,,,place_of_worship,buddhist,,
覚園寺,35.3311382,139.5641091,,,place_of_worship,buddhist,Mo-Su 10:00-15:00,
源頼朝の墓,35.3261653,139.5611432,,tomb,,,,
永福寺跡,35.3279953,139.5679275,,memorial,,,,
杉本寺,35.3226286,139.5674413,,,place_of_worship,buddhist,Mo-Su 08:00-16:15,
東勝寺跡,35.3202916,139.5598203,,memorial,,,,
宇都宮稲荷,35.3202564,139.5538865,,,place_of_worship,shinto,,
レデンプトリスチン修道院,35.3212765,139.5595355,,,place_of_worship,christian,,
寿福寺,35.3243223,139.5501094,,,place_of_worship,buddhist,24/7,
浄光明寺,35.3264324,139.5511764,,,place_of_worship,buddhist,,
鐵井,35.3242712,139.5537896,,memorial,,,,
岩船不動尊,35.3240898,139.551448,,,place_of_worship,buddhist,,
祇園山見晴台,35.3147638,139.5554223,viewpoint,,,,,
高時腹切りやぐら,35.320455,139.5598579,,memorial,,,,
紅葉山やぐら,35.3217592,139.5589387,,archaeological_site,,,,
薬師如来,35.3353702,139.5625054,,wayside_shrine,,buddhist,,
十王岩,35.3350646,139.5614244,,wayside_shrine,,buddhist,,
弘法大師八十八箇所道,35.3259651,139.5660076,,memorial,,,,
撫で身代わり,35.3261082,139.5668666,,memorial,,,,
永福寺跡,35.326991,139.568721,,memorial,,,,
二十五坊跡,35.3275776,139.5564107,,memorial,,,,
志一稲荷社,35.3253984,139.5538545,,,place_of_worship,shinto,,
浜の大鳥居跡,35.3146857,139.5493048,,memorial,,,,
鶴岡文庫,35.3272126,139.5564475,museum,,,,Tu-Su 09:00-17:00,
新宮神社,35.3282631,139.557596,,,place_of_worship,shinto,,
下馬,35.3156684,139.5501712,,memorial,,,,
岩船地蔵堂,35.3271722,139.5491412,,,place_of_worship,buddhist,,
西御門,35.3255526,139.5599685,,memorial,,,,
東御門,35.325435,139.562933,,memorial,,,,
正宗稲荷社,35.3228615,139.5503529,,,place_of_worship,shinto,,
泉の井,35.3265362,139.5523792,,memorial,,,,
相馬次郎師常之墓,35.3264575,139.5504882,,memorial,,,,
蒲原有明旧居跡(川端康成仮寓跡),35.3269732,139.5656586,,memorial,,,,
日蓮上人辻説法跡,35.3195317,139.5544035,,memorial,,,,
辻薬師堂,35.3128455,139.5531966,,,place_of_worship,buddhist,,
秋葉山三尺坊大権現,35.3046497,139.5550126,,,place_of_worship,buddhist,,
千手院,35.3042004,139.5538379,,,place_of_worship,buddhist,,
蓮乗院,35.3034077,139.5536526,,,place_of_worship,buddhist,,
虚空蔵堂,35.3097597,139.5326576,,,place_of_worship,buddhist,,
六地蔵,35.3153738,139.5465187,,memorial,,buddhist,,
ROBERT KOCH,35.3019841,139.5255036,,memorial,,,,
逗子開成中ボート遭難の碑,35.3024221,139.524581,,memorial,,,,
Main,35.3030428,139.5244428,,,restaurant,,,
史蹟　稲村ケ崎 新田義貞歩渉傳説地,35.3028029,139.5246111,,memorial,,,,
源実朝句碑,35.3083498,139.5339445,,memorial,,,,
裁許橋,35.3173838,139.547514,,memorial,,,,
問注所跡,35.3178801,139.547987,,memorial,,,,
補陀洛寺,35.3059239,139.5527545,,,place_of_worship,buddhist,,
長勝寺,35.309962,139.5578605,,,place_of_worship,buddhist,,
