name,area,lat,lon,stay_min,open_hour,close_hour,fee,score
円覚寺,北鎌倉,35.3379364,139.5478197,50,8.5,16.5,500,9
明月院,北鎌倉,35.3349131,139.5516437,35,9,16,500,10
建長寺,北鎌倉,35.3324455,139.5575336,55,8.5,16.5,500,9
東慶寺,北鎌倉,35.3355479,139.5463811,25,9,16,200,7
浄智寺,北鎌倉,35.3333982,139.5462449,25,9,16.5,200,6
鶴岡八幡宮,八幡宮,35.3251836,139.5561787,45,6,20,0,10
小町通り,八幡宮,35.3207763,139.5519605,45,10,18,0,9
鎌倉国宝館,八幡宮,35.3255,139.5565,40,9,16.5,400,6
源頼朝の墓,八幡宮,35.3261653,139.5611432,15,0,24,0,5
宝戒寺,八幡宮,35.3221163,139.55828,25,8,16.5,300,5
報国寺,金沢街道,35.3195248,139.5689009,45,9,16,400,9
杉本寺,金沢街道,35.3226286,139.5674413,25,9,16,300,7
浄妙寺,金沢街道,35.3233781,139.5713235,30,9,16.5,100,6
瑞泉寺,金沢街道,35.3274452,139.5751194,35,9,17,200,7
高徳院,長谷,35.3164986,139.5357293,40,8,17.5,300,10
長谷寺,長谷,35.3122687,139.5333092,45,8,17,400,10
御霊神社,長谷,35.3109923,139.5327888,15,0,24,0,6
鎌倉文学館,長谷,35.3153323,139.5389836,40,9,17,400,6
光則寺,長谷,35.3131959,139.5322646,20,8,17,100,5
極楽寺,江ノ電,35.3093646,139.5287947,20,9,16.5,0,5
成就院,江ノ電,35.3090783,139.5312626,20,8,17,0,6
稲村ヶ崎,江ノ電,35.3013,139.5289,20,0,24,0,8
七里ヶ浜,江ノ電,35.3039934,139.5140657,30,0,24,0,8
鎌倉高校前駅,江ノ電,35.3067209,139.5007098,15,0,24,0,9
銭洗弁財天宇賀福神社,西鎌倉,35.325755,139.5422647,30,8,16.5,0,9
佐助稲荷神社,西鎌倉,35.3243909,139.5392489,25,0,24,0,7
寿福寺,西鎌倉,35.3243223,139.5501094,20,0,24,0,4
葛原岡神社,西鎌倉,35.3288091,139.5428744,20,0,24,0,5
妙本寺,大町材木座,35.3171792,139.5572259,30,0,24,0,6
安国論寺,大町材木座,35.3112977,139.5586863,25,9,16.5,100,5
光明寺,大町材木座,35.3033692,139.554529,30,6,17,0,6
由比ヶ浜,大町材木座,35.3091195,139.5422113,40,0,24,0,8
荏柄天神社,その他,35.3256809,139.5642532,20,8.5,16.5,0,5
半僧坊,その他,35.3344775,139.5587222,30,8.5,16.5,0,6
