name,円覚寺,明月院,建長寺,東慶寺,浄智寺,鶴岡八幡宮,小町通り,鎌倉国宝館,源頼朝の墓,宝戒寺,報国寺,杉本寺,浄妙寺,瑞泉寺,高徳院,長谷寺,御霊神社,鎌倉文学館,光則寺,極楽寺,成就院,稲村ヶ崎,七里ヶ浜,鎌倉高校前駅,銭洗弁財天宇賀福神社,佐助稲荷神社,寿福寺,葛原岡神社,妙本寺,安国論寺,光明寺,由比ヶ浜,荏柄天神社,半僧坊
円覚寺,0.0,11.1,21.1,5.1,9.8,32.3,20.443894492542846,33.0,41.94416370030369,32.38244972409332,51.21966017494267,48.0,53.9,53.4,31.346794218245734,29.954378444538712,34.396022599167914,34.39523438048893,29.783721028165612,30.70707225970478,30.624129834702206,42.239499721736806,36.8280226651453,36.252016876566984,24.7,29.8,24.7,19.2,29.753686560119046,46.53358304384352,53.706463427165765,31.542557483895337,44.7,24.6
明月院,11.1,0.0,21.8,10.4,9.0,31.6,26.33477369503605,32.3,37.3,34.9,51.4,46.9,52.8,45.9,37.237673420738936,35.845257647031914,40.28690180166112,40.28611358298214,35.67460023065882,36.59795146219798,36.515009037195405,48.130378924230016,42.7189018676385,42.142896079060186,24.0,29.0,23.9,18.4,35.644565762612245,48.9,58.8,37.43343668638854,40.7,17.0
建長寺,21.1,21.8,0.0,16.9,17.4,16.8,25.1,16.6,15.6,20.6,29.7,25.2,31.1,33.2,48.9,48.44194977301984,52.883593927649045,47.9,48.27129235664675,49.19464358818591,49.111701163183334,60.727071050217944,55.31559399362643,54.739588205048115,27.7,32.9,21.1,28.3,30.5,39.1,52.8,44.6,19.0,4.9
東慶寺,5.1,10.4,16.9,0.0,4.9,27.4,19.260622808717013,28.1,37.4,30.8,47.5,43.1,49.0,52.7,30.163522534419904,28.771106760712883,33.212750915342085,33.21196269666311,28.600449344339783,29.52380057587895,29.440858150876377,41.056228037910984,35.64475098131947,35.068745192741154,19.8,24.9,19.8,14.3,28.570414876293214,44.7,52.523191743339936,30.359285800069507,39.8,23.8
浄智寺,9.8,9.0,17.4,4.9,0.0,24.8,24.0,25.5,34.8,28.2,44.9,40.5,46.4,50.5,35.0314739502879,33.639058176580875,38.08070233121008,38.0799141125311,33.46840076020778,34.39175199174694,34.308809566744365,45.924179453778976,40.51270239718746,39.93669660860915,17.2,22.2,17.2,11.7,33.438366292161206,42.1,52.1,35.2272372159375,37.2,22.4
鶴岡八幡宮,32.3,31.6,16.8,27.4,24.8,0.0,8.9,1.1,10.5,7.3,20.6,16.2,22.0,26.2,35.41725935522928,34.024843581522255,38.46648773615146,31.7,33.85418616514915,34.777537396688324,34.694594971685746,46.30996485872035,40.89848780212884,40.32248201355053,24.2,29.2,8.8,24.8,17.5,24.9,36.7,28.5,12.8,21.5
小町通り,20.443894492542846,26.33477369503605,25.1,19.260622808717017,24.0,8.9,0.0,9.6,16.9,9.8,27.0,22.6,28.5,32.6,22.391163866676017,20.998748092968995,25.440392247598197,24.3,20.828090676595895,21.751441908135064,21.66849948313249,33.283869370167096,27.87239231357558,27.296386524997263,18.9,18.5,6.3,19.5,11.3,19.5,29.4,21.0,19.2,29.8
鎌倉国宝館,33.0,32.3,16.6,28.1,25.5,1.1,9.6,0.0,10.3,7.0,20.4,15.9,21.8,25.9,36.37668685913995,34.98427108543293,39.42591524006213,32.4,34.81361366905983,35.736964900599,35.65402247559642,47.269392362631024,41.857915306039516,41.2819095174612,24.9,29.9,9.5,25.5,17.3,24.7,37.4,29.2,12.6,21.3
源頼朝の墓,41.94416370030369,37.3,15.6,37.4,34.8,10.5,16.9,10.3,0.0,9.4,15.7,11.3,17.2,19.2,43.89143307443686,42.49901730072984,46.94066145535904,39.5,42.32835988435674,43.25171111589591,43.16876869089333,54.78413857792793,49.372661521336425,48.79665573275811,32.2,37.2,18.8,32.8,16.6,25.1,39.6,36.3,5.0,20.3
宝戒寺,32.38244972409332,34.9,20.6,30.8,28.2,7.3,9.8,7.0,9.4,0.0,19.1,14.6,20.5,24.6,34.32971909822649,32.93730332451947,37.37894747914867,32.4,32.76664590814637,33.68999713968554,33.60705471468296,45.22242460171756,39.810947545126055,39.23494175654774,25.1,28.3,12.2,25.7,13.0,20.4,34.9,29.1,11.0,25.3
