name,円覚寺,明月院,建長寺,東慶寺,浄智寺,鶴岡八幡宮,小町通り,鎌倉国宝館,源頼朝の墓,宝戒寺,報国寺,杉本寺,浄妙寺,瑞泉寺,高徳院,長谷寺,御霊神社,鎌倉文学館,光則寺,極楽寺,成就院,稲村ヶ崎,七里ヶ浜,鎌倉高校前駅,銭洗弁財天宇賀福神社,佐助稲荷神社,寿福寺,葛原岡神社,妙本寺,安国論寺,光明寺,由比ヶ浜,荏柄天神社,半僧坊
円覚寺,0.0,11.1,21.1,5.1,9.8,32.3,31.5,33.0,42.3,35.7,52.5,48.0,53.9,53.4,48.1,52.1,53.2,48.3,51.7,62.7,57.5,65.8,81.0,90.1,24.7,29.8,24.7,19.2,42.7,49.6,59.6,49.3,44.7,24.6
明月院,11.1,0.0,21.8,10.4,9.0,31.6,30.7,32.3,37.3,34.9,51.4,46.9,52.8,45.9,47.3,51.3,52.5,47.5,50.9,59.9,56.7,65.0,80.2,89.0,24.0,29.0,23.9,18.4,41.9,48.9,58.8,48.5,40.7,17.0
建長寺,21.1,21.8,0.0,16.9,17.4,16.8,25.1,16.6,15.6,20.6,29.7,25.2,31.1,33.2,48.9,53.5,56.6,47.9,53.9,61.2,58.0,65.4,80.7,95.9,27.7,32.9,21.1,28.3,30.5,39.1,52.8,44.6,19.0,4.9
東慶寺,5.1,10.4,16.9,0.0,4.9,27.4,26.6,28.1,37.4,30.8,47.5,43.1,49.0,52.7,43.2,47.2,48.3,43.4,46.8,55.8,52.6,60.8,76.1,84.8,19.8,24.9,19.8,14.3,37.8,44.7,54.7,44.4,39.8,23.8
浄智寺,9.8,9.0,17.4,4.9,0.0,24.8,24.0,25.5,34.8,28.2,44.9,40.5,46.4,50.5,40.5,44.6,45.7,40.8,44.1,53.2,49.9,58.2,73.5,82.2,17.2,22.2,17.2,11.7,35.2,42.1,52.1,41.7,37.2,22.4
鶴岡八幡宮,32.3,31.6,16.8,27.4,24.8,0.0,8.9,1.1,10.5,7.3,20.6,16.2,22.0,26.2,39.0,37.4,40.5,31.7,37.8,45.1,41.9,49.3,64.5,79.8,24.2,29.2,8.8,24.8,17.5,24.9,36.7,28.5,12.8,21.5
小町通り,31.5,30.7,25.1,26.6,24.0,8.9,0.0,9.6,16.9,9.8,27.0,22.6,28.5,32.6,28.3,29.9,31.1,24.3,30.3,37.6,34.4,41.8,57.0,72.3,18.9,18.5,6.3,19.5,11.3,19.5,29.4,21.0,19.2,29.8
鎌倉国宝館,33.0,32.3,16.6,28.1,25.5,1.1,9.6,0.0,10.3,7.0,20.4,15.9,21.8,25.9,39.6,38.0,41.2,32.4,38.5,45.8,42.6,50.0,65.2,80.5,24.9,29.9,9.5,25.5,17.3,24.7,37.4,29.2,12.6,21.3
源頼朝の墓,42.3,37.3,15.6,37.4,34.8,10.5,16.9,10.3,0.0,9.4,15.7,11.3,17.2,19.2,46.8,45.2,48.3,39.5,45.6,52.9,49.6,57.0,72.3,87.5,32.2,37.2,18.8,32.8,16.6,25.1,39.6,36.3,5.0,20.3
宝戒寺,35.7,34.9,20.6,30.8,28.2,7.3,9.8,7.0,9.4,0.0,19.1,14.6,20.5,24.6,39.6,38.0,41.1,32.4,38.4,45.7,42.5,49.9,65.1,80.4,25.1,28.3,12.2,25.7,13.0,20.4,34.9,29.1,11.0,25.3
報国寺,52.5,51.4,29.7,47.5,44.9,20.6,27.0,20.4,15.7,19.1,0.0,7.0,7.5,24.7,56.9,55.3,58.4,49.7,55.7,63.0,59.8,67.2,82.4,97.7,42.3,47.3,28.9,42.9,25.9,33.9,49.0,46.4,12.6,34.4
杉本寺,48.0,46.9,25.2,43.1,40.5,16.2,22.6,15.9,11.3,14.6,7.0,0.0,8.5,20.2,52.4,50.8,54.0,45.2,51.3,58.6,55.3,62.7,78.0,93.2,37.9,42.9,24.5,38.5,21.5,30.0,44.5,41.9,8.2,30.0
浄妙寺,53.9,52.8,31.1,49.0,46.4,22.0,28.5,21.8,17.2,20.5,7.5,8.5,0.0,24.3,58.3,56.7,59.8,51.1,57.1,64.4,61.2,68.6,83.9,99.1,43.7,48.7,30.4,44.4,27.3,38.6,53.8,47.8,14.1,35.8
瑞泉寺,53.4,45.9,33.2,52.7,50.5,26.2,32.6,25.9,19.2,24.6,24.7,20.2,24.3,0.0,62.5,60.9,64.0,55.2,61.3,68.6,65.3,72.7,88.0,103.2,47.9,52.9,34.5,48.5,31.5,40.0,54.5,52.0,16.2,31.4
高徳院,48.1,47.3,48.9,43.2,40.5,39.0,28.3,39.6,46.8,39.6,56.9,52.4,58.3,62.5,0.0,8.8,9.9,12.8,8.4,17.4,14.2,24.8,40.1,55.3,24.4,24.7,32.7,29.1,34.3,34.6,32.4,15.7,49.1,51.7
長谷寺,52.1,51.3,53.5,47.2,44.6,37.4,29.9,38.0,45.2,38.0,55.3,50.8,56.7,60.9,8.8,0.0,7.7,11.2,6.2,15.2,12.0,21.7,36.9,52.2,28.4,28.7,34.2,33.1,32.7,33.0,30.6,13.8,47.5,58.2
御霊神社,53.2,52.5,56.6,48.3,45.7,40.5,31.1,41.2,48.3,41.1,58.4,54.0,59.8,64.0,9.9,7.7,0.0,12.4,8.1,8.4,5.2,15.2,30.5,45.7,29.6,29.9,35.5,34.3,35.7,34.1,29.0,12.3,50.6,61.4
鎌倉文学館,48.3,47.5,47.9,43.4,40.8,31.7,24.3,32.4,39.5,32.4,49.7,45.2,51.1,55.2,12.8,11.2,12.4,0.0,11.6,19.6,16.4,25.6,40.8,56.1,24.6,24.9,28.6,29.3,27.1,30.2,28.3,11.6,41.9,52.6
光則寺,51.7,50.9,53.9,46.8,44.1,37.8,30.3,38.5,45.6,38.4,55.7,51.3,57.1,61.3,8.4,6.2,8.1,11.6,0.0,15.6,12.4,22.1,37.3,52.6,28.0,28.3,34.7,32.7,33.1,33.4,31.0,14.3,47.9,55.3
極楽寺,62.7,59.9,61.2,55.8,53.2,45.1,37.6,45.8,52.9,45.7,63.0,58.6,64.4,68.6,17.4,15.2,8.4,19.6,15.6,0.0,3.3,16.7,23.5,38.8,37.1,37.4,39.6,41.8,40.3,38.7,33.6,16.9,55.2,66.0
成就院,57.5,56.7,58.0,52.6,49.9,41.9,34.4,42.6,49.6,42.5,59.8,55.3,61.2,65.3,14.2,12.0,5.2,16.4,12.4,3.3,0.0,14.9,24.2,39.5,33.8,34.1,36.4,38.5,37.1,35.5,30.4,13.7,52.0,62.7
稲村ヶ崎,65.8,65.0,65.4,60.8,58.2,49.3,41.8,50.0,57.0,49.9,67.2,62.7,68.6,72.7,24.8,21.7,15.2,25.6,22.1,16.7,14.9,0.0,16.0,31.2,42.1,42.4,43.8,46.8,44.5,42.9,37.8,21.1,59.4,70.1
七里ヶ浜,81.0,80.2,80.7,76.1,73.5,64.5,57.0,65.2,72.3,65.1,82.4,78.0,83.9,88.0,40.1,36.9,30.5,40.8,37.3,23.5,24.2,16.0,0.0,15.5,57.4,57.7,59.1,62.0,59.8,58.1,53.1,36.3,74.6,85.4
